label,input,output
Biological Kind,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?","['honey', 'baby', 'you', 'you', 'Baby', 'you', 'you', 'I', 'you', 'I', 'l', 'Mister', 'you', 'you', 'I', 'I', 'baby', 'I', 'you', 'you', 'you', 'me']"
Mental State,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",['wanna']
Non-Living Kind,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",['honey']
Normative Feature,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?","['wrong', 'wrong']"
Perceptual,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?","['little', 'sweeter', 'little']"
Social Kind/Role,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?","['LAW', 'profits', 'money']"
Anthropomorphized,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",[]
Artifacts,Maybe she could build a piece of furniture that would save space for her customers.,['furniture']
Behavioral,Maybe she could build a piece of furniture that would save space for her customers.,"['save', 'build']"
Biological Kind,Maybe she could build a piece of furniture that would save space for her customers.,['she']
Mental State,Maybe she could build a piece of furniture that would save space for her customers.,[]
Non-Living Kind,Maybe she could build a piece of furniture that would save space for her customers.,['space']
Normative Feature,Maybe she could build a piece of furniture that would save space for her customers.,[]
Perceptual,Maybe she could build a piece of furniture that would save space for her customers.,['piece']
Social Kind/Role,Maybe she could build a piece of furniture that would save space for her customers.,['customers']
Anthropomorphized,Maybe she could build a piece of furniture that would save space for her customers.,[]
Artifacts,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.",[]
Behavioral,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.","['eats', 'run', 'lives']"
Biological Kind,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.","['plants', 'deer', 'mammal', 'forest', 'deer', 'legs']"
Mental State,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.",[]
Non-Living Kind,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.",['meadow']
Normative Feature,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.",[]
Perceptual,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.","['long', 'fast']"
Social Kind/Role,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.",[]
Anthropomorphized,"deer (DIHR): A deer is a mammal that eats plants and lives in a meadow or forest, It has long legs and can run very fast.",[]
Artifacts,Today Olga has been invited to Nina’s house.,['house']
Behavioral,Today Olga has been invited to Nina’s house.,['invited']
Biological Kind,Today Olga has been invited to Nina’s house.,[]
Mental State,Today Olga has been invited to Nina’s house.,[]
Non-Living Kind,Today Olga has been invited to Nina’s house.,['Today']
Normative Feature,Today Olga has been invited to Nina’s house.,[]
Perceptual,Today Olga has been invited to Nina’s house.,[]
Social Kind/Role,Today Olga has been invited to Nina’s house.,[]
Anthropomorphized,Today Olga has been invited to Nina’s house.,"['Olga', 'Nina']"
Artifacts,Is your daddy brave?Have you gone exploring with your daddy?,[]
Behavioral,Is your daddy brave?Have you gone exploring with your daddy?,"['gone', 'exploring', 'brave']"
Biological Kind,Is your daddy brave?Have you gone exploring with your daddy?,['you']
Mental State,Is your daddy brave?Have you gone exploring with your daddy?,[]
Non-Living Kind,Is your daddy brave?Have you gone exploring with your daddy?,[]
Normative Feature,Is your daddy brave?Have you gone exploring with your daddy?,[]
Perceptual,Is your daddy brave?Have you gone exploring with your daddy?,[]
Social Kind/Role,Is your daddy brave?Have you gone exploring with your daddy?,"['daddy', 'daddy']"
Anthropomorphized,Is your daddy brave?Have you gone exploring with your daddy?,[]
Artifacts,I smell a flower.,[]
Behavioral,I smell a flower.,['smell']
Biological Kind,I smell a flower.,"['flower', 'I']"
Mental State,I smell a flower.,[]
Non-Living Kind,I smell a flower.,[]
Normative Feature,I smell a flower.,[]
Perceptual,I smell a flower.,[]
Social Kind/Role,I smell a flower.,[]
Anthropomorphized,I smell a flower.,[]
Artifacts,"Yes, the bunnies are asleep.",[]
Behavioral,"Yes, the bunnies are asleep.",['asleep']
Biological Kind,"Yes, the bunnies are asleep.",['bunnies']
Mental State,"Yes, the bunnies are asleep.",[]
Non-Living Kind,"Yes, the bunnies are asleep.",[]
Normative Feature,"Yes, the bunnies are asleep.",[]
Perceptual,"Yes, the bunnies are asleep.",[]
Social Kind/Role,"Yes, the bunnies are asleep.",[]
Anthropomorphized,"Yes, the bunnies are asleep.",[]
Artifacts,Best dancing is like magic!,[]
Behavioral,Best dancing is like magic!,['dancing']
Biological Kind,Best dancing is like magic!,[]
Mental State,Best dancing is like magic!,[]
Non-Living Kind,Best dancing is like magic!,['magic']
Normative Feature,Best dancing is like magic!,['Best']
Perceptual,Best dancing is like magic!,[]
Social Kind/Role,Best dancing is like magic!,[]
Anthropomorphized,Best dancing is like magic!,[]
Artifacts,Devil Cat.,[]
Behavioral,Devil Cat.,[]
Biological Kind,Devil Cat.,['Cat']
Mental State,Devil Cat.,[]
Non-Living Kind,Devil Cat.,[]
Normative Feature,Devil Cat.,['Devil']
Perceptual,Devil Cat.,[]
Social Kind/Role,Devil Cat.,[]
Anthropomorphized,Devil Cat.,[]
Artifacts,"After dinner, I told my dad a ghost story.",['story']
Behavioral,"After dinner, I told my dad a ghost story.",['told']
Biological Kind,"After dinner, I told my dad a ghost story.",['I']
Mental State,"After dinner, I told my dad a ghost story.",[]
Non-Living Kind,"After dinner, I told my dad a ghost story.","['dinner', 'ghost']"
Normative Feature,"After dinner, I told my dad a ghost story.",[]
Perceptual,"After dinner, I told my dad a ghost story.",[]
Social Kind/Role,"After dinner, I told my dad a ghost story.",['dad']
Anthropomorphized,"After dinner, I told my dad a ghost story.",[]
Artifacts,For each guest had brought something different to eat.,[]
Behavioral,For each guest had brought something different to eat.,"['eat', 'brought']"
Biological Kind,For each guest had brought something different to eat.,['something']
Mental State,For each guest had brought something different to eat.,[]
Non-Living Kind,For each guest had brought something different to eat.,[]
Normative Feature,For each guest had brought something different to eat.,['different']
Perceptual,For each guest had brought something different to eat.,[]
Social Kind/Role,For each guest had brought something different to eat.,['guest']
Anthropomorphized,For each guest had brought something different to eat.,[]
Artifacts,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!","['clothes', 'sleeve']"
Behavioral,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!","['daily', 'cover', 'catch']"
Biological Kind,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!","['I', 'I']"
Mental State,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!",['Love']
Non-Living Kind,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!","['warmbath', 'coughs', 'sneeze', 'scene']"
Normative Feature,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!",['good']
Perceptual,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!","['fresh', 'clean', 'neat']"
Social Kind/Role,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!",[]
Anthropomorphized,"A good warmbath is my daily scene Then I Love fresh clothes,so neat and clean I cover coughs,and catch my sneeze often right into my sleeve!",[]
Artifacts,He was organizing papers in the reception room when a messenger arrived.,"['reception room', 'papers']"
Behavioral,He was organizing papers in the reception room when a messenger arrived.,"['organizing', 'arrived']"
Biological Kind,He was organizing papers in the reception room when a messenger arrived.,['He']
Mental State,He was organizing papers in the reception room when a messenger arrived.,[]
Non-Living Kind,He was organizing papers in the reception room when a messenger arrived.,[]
Normative Feature,He was organizing papers in the reception room when a messenger arrived.,[]
Perceptual,He was organizing papers in the reception room when a messenger arrived.,[]
Social Kind/Role,He was organizing papers in the reception room when a messenger arrived.,['messenger']
Anthropomorphized,He was organizing papers in the reception room when a messenger arrived.,[]
Artifacts,all day long.,[]
Behavioral,all day long.,[]
Biological Kind,all day long.,[]
Mental State,all day long.,[]
Non-Living Kind,all day long.,['day']
Normative Feature,all day long.,[]
Perceptual,all day long.,"['long', 'all']"
Social Kind/Role,all day long.,[]
Anthropomorphized,all day long.,[]
Artifacts,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.",['wall']
Behavioral,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.","['grabbed', 'throwing', 'hit', 'started', 'tell']"
Biological Kind,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.","['She', 'her']"
Mental State,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.",[]
Non-Living Kind,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.","['sound', 'they', 'dip', 'rocks']"
Normative Feature,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.",[]
Perceptual,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.",['bunch']
Social Kind/Role,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.",[]
Anthropomorphized,"She grabbed a bunch of rocks and started throwing here and there, and when they hit a wall or a dip, the sound would tell her where.",[]
Artifacts,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Behavioral,"Clang, clang, rattle-bing-bang Gonna make my noise all day.","['rattle-bing-bang', 'Gonna', 'Clang', 'make', 'clang']"
Biological Kind,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Mental State,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Non-Living Kind,"Clang, clang, rattle-bing-bang Gonna make my noise all day.","['day', 'noise']"
Normative Feature,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Perceptual,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Social Kind/Role,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Anthropomorphized,"Clang, clang, rattle-bing-bang Gonna make my noise all day.",[]
Artifacts,"” After she removed the thorn, the lion licked her hand with his big rough tongue.",[]
Behavioral,"” After she removed the thorn, the lion licked her hand with his big rough tongue.","['licked', 'removed']"
Biological Kind,"” After she removed the thorn, the lion licked her hand with his big rough tongue.","['hand', 'she', 'lion', 'thorn', 'tongue']"
Mental State,"” After she removed the thorn, the lion licked her hand with his big rough tongue.",[]
Non-Living Kind,"” After she removed the thorn, the lion licked her hand with his big rough tongue.",[]
Normative Feature,"” After she removed the thorn, the lion licked her hand with his big rough tongue.",[]
Perceptual,"” After she removed the thorn, the lion licked her hand with his big rough tongue.","['big', 'rough']"
Social Kind/Role,"” After she removed the thorn, the lion licked her hand with his big rough tongue.",[]
Anthropomorphized,"” After she removed the thorn, the lion licked her hand with his big rough tongue.",[]
Artifacts,Emma gives Piper a big hug.,[]
Behavioral,Emma gives Piper a big hug.,"['gives', 'hug']"
Biological Kind,Emma gives Piper a big hug.,"['Piper', 'Emma']"
Mental State,Emma gives Piper a big hug.,[]
Non-Living Kind,Emma gives Piper a big hug.,[]
Normative Feature,Emma gives Piper a big hug.,[]
Perceptual,Emma gives Piper a big hug.,['big']
Social Kind/Role,Emma gives Piper a big hug.,[]
Anthropomorphized,Emma gives Piper a big hug.,[]
Artifacts,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,[]
Behavioral,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,"['named', 'act']"
Biological Kind,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,"['who', 'Nikolai']"
Mental State,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,"['felt', 'uncertain']"
Non-Living Kind,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,[]
Normative Feature,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,['right']
Perceptual,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,[]
Social Kind/Role,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,['boy']
Anthropomorphized,There once was a boy named Nikolai who sometimes felt uncertain about the right way to act.,[]
Artifacts,What do they taste like?,[]
Behavioral,What do they taste like?,['taste']
Biological Kind,What do they taste like?,['they']
Mental State,What do they taste like?,[]
Non-Living Kind,What do they taste like?,[]
Normative Feature,What do they taste like?,[]
Perceptual,What do they taste like?,[]
Social Kind/Role,What do they taste like?,[]
Anthropomorphized,What do they taste like?,[]
Artifacts,I turned around and took one step.,[]
Behavioral,I turned around and took one step.,"['took', 'step', 'turned']"
Biological Kind,I turned around and took one step.,['I']
Mental State,I turned around and took one step.,[]
Non-Living Kind,I turned around and took one step.,[]
Normative Feature,I turned around and took one step.,[]
Perceptual,I turned around and took one step.,['one']
Social Kind/Role,I turned around and took one step.,[]
Anthropomorphized,I turned around and took one step.,[]
Artifacts,The tortoise stretched his legs and limbered up.,[]
Behavioral,The tortoise stretched his legs and limbered up.,"['limbered', 'stretched']"
Biological Kind,The tortoise stretched his legs and limbered up.,"['tortoise', 'legs']"
Mental State,The tortoise stretched his legs and limbered up.,[]
Non-Living Kind,The tortoise stretched his legs and limbered up.,[]
Normative Feature,The tortoise stretched his legs and limbered up.,[]
Perceptual,The tortoise stretched his legs and limbered up.,[]
Social Kind/Role,The tortoise stretched his legs and limbered up.,[]
Anthropomorphized,The tortoise stretched his legs and limbered up.,[]
Artifacts,He can sit up and beg.,[]
Behavioral,He can sit up and beg.,"['sit', 'beg']"
Biological Kind,He can sit up and beg.,['He']
Mental State,He can sit up and beg.,[]
Non-Living Kind,He can sit up and beg.,[]
Normative Feature,He can sit up and beg.,[]
Perceptual,He can sit up and beg.,[]
Social Kind/Role,He can sit up and beg.,[]
Anthropomorphized,He can sit up and beg.,[]
Artifacts,"And all I love are with me, both small and great.",[]
Behavioral,"And all I love are with me, both small and great.",[]
Biological Kind,"And all I love are with me, both small and great.","['I', 'me']"
Mental State,"And all I love are with me, both small and great.",['love']
Non-Living Kind,"And all I love are with me, both small and great.",[]
Normative Feature,"And all I love are with me, both small and great.",['great']
Perceptual,"And all I love are with me, both small and great.",['small']
Social Kind/Role,"And all I love are with me, both small and great.",[]
Anthropomorphized,"And all I love are with me, both small and great.",[]
Artifacts,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",['names']
Behavioral,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",['dear']
Biological Kind,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]","['mind', 'you', 'animals', 'toed', 'yock', 'them', 'ick']"
Mental State,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",['know']
Non-Living Kind,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",['today']
Normative Feature,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",['different']
Perceptual,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]","['old', 'three']"
Social Kind/Role,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",['friend']
Anthropomorphized,"[Keep in mind, my dear friend, that the guck, ick, and three-toed yock were very old animals, so you might know them by different names today. ]",[]
Artifacts,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,[]
Behavioral,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. ""","['Iron', 'churn', 'bake', 'clean', 'mend', 'Wash', 'rest', 'say']"
Biological Kind,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,[]
Mental State,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,[]
Non-Living Kind,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. ""","['Sunday', 'Wednesday', 'Saturday', 'Thursday', 'Friday', 'Tuesday', 'Monday']"
Normative Feature,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,[]
Perceptual,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,[]
Social Kind/Role,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,['Ma']
Anthropomorphized,"Ma would say"" ""Wash on Monday, Iron on Tuesday, mend on Wednesday, churn on Thursday, clean on Friday, bake on Saturday, rest on Sunday. """,[]
Artifacts,[[RED BLUE]] But they had no green.,[]
Behavioral,[[RED BLUE]] But they had no green.,[]
Biological Kind,[[RED BLUE]] But they had no green.,['they']
Mental State,[[RED BLUE]] But they had no green.,[]
Non-Living Kind,[[RED BLUE]] But they had no green.,[]
Normative Feature,[[RED BLUE]] But they had no green.,[]
Perceptual,[[RED BLUE]] But they had no green.,"['BLUE', 'RED', 'green']"
Social Kind/Role,[[RED BLUE]] But they had no green.,[]
Anthropomorphized,[[RED BLUE]] But they had no green.,[]
Artifacts,We're going to catch a big one.,[]
Behavioral,We're going to catch a big one.,"['going', 'catch']"
Biological Kind,We're going to catch a big one.,"['one', 'We']"
Mental State,We're going to catch a big one.,[]
Non-Living Kind,We're going to catch a big one.,[]
Normative Feature,We're going to catch a big one.,[]
Perceptual,We're going to catch a big one.,['big']
Social Kind/Role,We're going to catch a big one.,[]
Anthropomorphized,We're going to catch a big one.,[]
Artifacts,"” The third one said, the drums I'll play.",['drums']
Behavioral,"” The third one said, the drums I'll play.","['said', 'play']"
Biological Kind,"” The third one said, the drums I'll play.","['I', 'one']"
Mental State,"” The third one said, the drums I'll play.",[]
Non-Living Kind,"” The third one said, the drums I'll play.",[]
Normative Feature,"” The third one said, the drums I'll play.",[]
Perceptual,"” The third one said, the drums I'll play.",['third']
Social Kind/Role,"” The third one said, the drums I'll play.",[]
Anthropomorphized,"” The third one said, the drums I'll play.",[]
Artifacts,Mom's Bathing Suit.,['Bathing Suit']
Behavioral,Mom's Bathing Suit.,[]
Biological Kind,Mom's Bathing Suit.,[]
Mental State,Mom's Bathing Suit.,[]
Non-Living Kind,Mom's Bathing Suit.,[]
Normative Feature,Mom's Bathing Suit.,[]
Perceptual,Mom's Bathing Suit.,[]
Social Kind/Role,Mom's Bathing Suit.,['Mom']
Anthropomorphized,Mom's Bathing Suit.,[]
Artifacts,When waking in the morning six is so much less than seven.,[]
Behavioral,When waking in the morning six is so much less than seven.,['waking']
Biological Kind,When waking in the morning six is so much less than seven.,[]
Mental State,When waking in the morning six is so much less than seven.,[]
Non-Living Kind,When waking in the morning six is so much less than seven.,['morning']
Normative Feature,When waking in the morning six is so much less than seven.,['less']
Perceptual,When waking in the morning six is so much less than seven.,"['seven', 'six']"
Social Kind/Role,When waking in the morning six is so much less than seven.,[]
Anthropomorphized,When waking in the morning six is so much less than seven.,[]
Artifacts,"In fact, it didn’t move at all.",[]
Behavioral,"In fact, it didn’t move at all.",['move']
Biological Kind,"In fact, it didn’t move at all.",[]
Mental State,"In fact, it didn’t move at all.",[]
Non-Living Kind,"In fact, it didn’t move at all.",[]
Normative Feature,"In fact, it didn’t move at all.",[]
Perceptual,"In fact, it didn’t move at all.",[]
Social Kind/Role,"In fact, it didn’t move at all.",[]
Anthropomorphized,"In fact, it didn’t move at all.",[]
Artifacts,a fish who go shopping while out at the mall.,[]
Behavioral,a fish who go shopping while out at the mall.,"['go', 'shopping']"
Biological Kind,a fish who go shopping while out at the mall.,['fish']
Mental State,a fish who go shopping while out at the mall.,[]
Non-Living Kind,a fish who go shopping while out at the mall.,[]
Normative Feature,a fish who go shopping while out at the mall.,[]
Perceptual,a fish who go shopping while out at the mall.,[]
Social Kind/Role,a fish who go shopping while out at the mall.,['mall']
Anthropomorphized,a fish who go shopping while out at the mall.,[]
Artifacts,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.",[]
Behavioral,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.","['sit', 'said', 'going', 'sit', 'go']"
Biological Kind,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.","['you', 'he']"
Mental State,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.",[]
Non-Living Kind,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.","['outside', 'day']"
Normative Feature,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.",[]
Perceptual,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.",['One']
Social Kind/Role,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.",['friend']
Anthropomorphized,"One day his friend the Letter W said, “If you’re just going to sit around, at least go sit outside!” So he did.",['Letter W']
Artifacts,One lazy day while in the sun I blew and made a wish.,[]
Behavioral,One lazy day while in the sun I blew and made a wish.,"['blew', 'made']"
Biological Kind,One lazy day while in the sun I blew and made a wish.,['I']
Mental State,One lazy day while in the sun I blew and made a wish.,['wish']
Non-Living Kind,One lazy day while in the sun I blew and made a wish.,"['sun', 'day']"
Normative Feature,One lazy day while in the sun I blew and made a wish.,[]
Perceptual,One lazy day while in the sun I blew and made a wish.,"['lazy', 'One']"
Social Kind/Role,One lazy day while in the sun I blew and made a wish.,[]
Anthropomorphized,One lazy day while in the sun I blew and made a wish.,[]
Artifacts,Thomas will take the judge to the show.,['show']
Behavioral,Thomas will take the judge to the show.,['take']
Biological Kind,Thomas will take the judge to the show.,['Thomas']
Mental State,Thomas will take the judge to the show.,[]
Non-Living Kind,Thomas will take the judge to the show.,[]
Normative Feature,Thomas will take the judge to the show.,[]
Perceptual,Thomas will take the judge to the show.,[]
Social Kind/Role,Thomas will take the judge to the show.,['judge']
Anthropomorphized,Thomas will take the judge to the show.,[]
Artifacts,This will stop you from turning pages.,['pages']
Behavioral,This will stop you from turning pages.,"['stop', 'turning']"
Biological Kind,This will stop you from turning pages.,['you']
Mental State,This will stop you from turning pages.,[]
Non-Living Kind,This will stop you from turning pages.,[]
Normative Feature,This will stop you from turning pages.,[]
Perceptual,This will stop you from turning pages.,[]
Social Kind/Role,This will stop you from turning pages.,[]
Anthropomorphized,This will stop you from turning pages.,[]
Artifacts,Walter the Narwhal want to try some of your donuts .,['donuts']
Behavioral,Walter the Narwhal want to try some of your donuts .,['try']
Biological Kind,Walter the Narwhal want to try some of your donuts .,[]
Mental State,Walter the Narwhal want to try some of your donuts .,['want']
Non-Living Kind,Walter the Narwhal want to try some of your donuts .,[]
Normative Feature,Walter the Narwhal want to try some of your donuts .,[]
Perceptual,Walter the Narwhal want to try some of your donuts .,[]
Social Kind/Role,Walter the Narwhal want to try some of your donuts .,[]
Anthropomorphized,Walter the Narwhal want to try some of your donuts .,['Walter the Narwhal']
Artifacts,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.","['glass', 'case']"
Behavioral,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.","['changing', 'remained', 'looking']"
Biological Kind,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.",['she']
Mental State,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.",[]
Non-Living Kind,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.","['days', 'days']"
Normative Feature,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.",['beautiful']
Perceptual,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.",[]
Social Kind/Role,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.",[]
Anthropomorphized,"And she remained there for days and days without changing the slightest, looking oh, so beautiful under the glass case.",[]
Artifacts,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.",['bulbs']
Behavioral,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.","['sent', 'Dearest']"
Biological Kind,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.","['you', 'Lydia Grace', 'you']"
Mental State,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.",['Love']
Non-Living Kind,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.",[]
Normative Feature,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.",[]
Perceptual,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.",[]
Social Kind/Role,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.","['Christmas', 'Grandma']"
Anthropomorphized,"Love to all, Lydia Grace February 12, 1936 Dearest Grandma, Thank you again for those bulbs you sent at Christmas.",[]
